GO name,C0,C0 Rank,C1,C2,C3,C4,C5,C6,C0,C1,C2,C3,C4,C5,C6
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,0,1697,0,0,2,0,0,0,0,0,0,0.092549745,0,0,0
protein polyubiquitination,0,1698,0,0,2,0,0,0,0,0,0,0.092549745,0,0,0
tRNA 5'-end processing,0,1699,0,0,2,0,0,0,0,0,0,0.092549745,0,0,0
tRNA guanylyltransferase activity,0,1700,0,0,2,0,0,0,0,0,0,0.092549745,0,0,0
calcium-dependent phospholipid binding,0,1701,0,0,2,0,0,0,0,0,0,0.092549745,0,0,0
negative regulation of cyclin-dependent protein serine/threonine kinase activity,0,1702,0,0,2,0,0,0,0,0,0,0.092549745,0,0,0
snRNA binding,0,1703,0,0,2,0,0,0,0,0,0,0.092549745,0,0,0
cyclin-dependent protein serine/threonine kinase inhibitor activity,0,1704,0,0,2,0,0,0,0,0,0,0.092549745,0,0,0
microtubule cytoskeleton,0,1705,0,0,2,0,0,0,0,0,0,0.092549745,0,0,0
peptidase inhibitor activity,7,129,2,3,1,1,15,18,0.125156446,0.126182965,0.123355263,0.046274873,0.066755674,0.302419355,1.267605634
ADP-ribose diphosphatase activity,1,520,0,1,1,0,4,14,0.017879492,0,0.041118421,0.046274873,0,0.080645161,0.985915493
structural constituent of cuticle,0,1033,0,0,1,1,16,9,0,0,0,0.046274873,0.066755674,0.322580645,0.633802817
lipid metabolic process,20,48,4,1,1,1,11,5,0.357589844,0.252365931,0.041118421,0.046274873,0.066755674,0.221774194,0.352112676
lyase activity,8,112,3,3,1,4,10,4,0.143035938,0.189274448,0.123355263,0.046274873,0.267022697,0.201612903,0.281690141
chloride transmembrane transport,5,161,1,6,1,0,7,3,0.089397461,0.063091483,0.246710526,0.046274873,0,0.141129032,0.211267606
rRNA processing,11,86,4,5,1,1,2,3,0.196674414,0.252365931,0.205592105,0.046274873,0.066755674,0.040322581,0.211267606
dephosphorylation,11,85,0,4,1,4,5,3,0.196674414,0,0.164473684,0.046274873,0.267022697,0.100806452,0.211267606
iron ion binding,7,133,0,2,1,0,2,3,0.125156446,0,0.082236842,0.046274873,0,0.040322581,0.211267606
lipid catabolic process,8,113,2,1,1,0,2,3,0.143035938,0.126182965,0.041118421,0.046274873,0,0.040322581,0.211267606
cell projection,9,106,0,2,1,0,2,2,0.16091543,0,0.082236842,0.046274873,0,0.040322581,0.14084507
myosin phosphatase activity,7,137,4,1,1,3,6,2,0.125156446,0.252365931,0.041118421,0.046274873,0.200267023,0.120967742,0.14084507
endoribonuclease activity,1,528,2,1,1,0,4,2,0.017879492,0.126182965,0.041118421,0.046274873,0,0.080645161,0.14084507
negative regulation of peptidase activity,3,237,1,1,1,0,5,2,0.053638477,0.063091483,0.041118421,0.046274873,0,0.100806452,0.14084507
lipid binding,5,162,2,0,1,4,8,2,0.089397461,0.126182965,0,0.046274873,0.267022697,0.161290323,0.14084507
biosynthetic process,4,184,1,0,1,0,3,2,0.071517969,0.063091483,0,0.046274873,0,0.060483871,0.14084507
tricarboxylic acid cycle,7,134,0,0,1,3,8,2,0.125156446,0,0,0.046274873,0.200267023,0.161290323,0.14084507
spindle,1,533,0,0,1,0,0,2,0.017879492,0,0,0.046274873,0,0,0.14084507
nervous system development,0,1055,0,0,1,2,0,2,0,0,0,0.046274873,0.133511348,0,0.14084507
'de novo' GDP-L-fucose biosynthetic process,0,1046,0,0,1,0,2,2,0,0,0,0.046274873,0,0.040322581,0.14084507
semaphorin receptor binding,0,1056,0,0,1,0,0,2,0,0,0,0.046274873,0,0,0.14084507
ion channel activity,13,74,3,10,1,4,4,1,0.232433399,0.189274448,0.411184211,0.046274873,0.267022697,0.080645161,0.070422535
calcium ion transmembrane transport,4,194,1,7,1,0,2,1,0.071517969,0.063091483,0.287828947,0.046274873,0,0.040322581,0.070422535
protein tyrosine kinase activity,6,151,1,4,1,1,4,1,0.107276953,0.063091483,0.164473684,0.046274873,0.066755674,0.080645161,0.070422535
cation:chloride symporter activity,5,166,1,4,1,0,2,1,0.089397461,0.063091483,0.164473684,0.046274873,0,0.040322581,0.070422535
calcium channel activity,4,195,1,4,1,0,2,1,0.071517969,0.063091483,0.164473684,0.046274873,0,0.040322581,0.070422535
DNA-directed 5'-3' RNA polymerase activity,3,262,3,3,1,1,0,1,0.053638477,0.189274448,0.123355263,0.046274873,0.066755674,0,0.070422535
regulation of ion transmembrane transport,4,197,1,3,1,1,0,1,0.071517969,0.063091483,0.123355263,0.046274873,0.066755674,0,0.070422535
voltage-gated ion channel activity,4,198,1,3,1,1,0,1,0.071517969,0.063091483,0.123355263,0.046274873,0.066755674,0,0.070422535
response to external stimulus,2,344,0,3,1,0,3,1,0.035758984,0,0.123355263,0.046274873,0,0.060483871,0.070422535
actin filament binding,5,165,1,2,1,0,4,1,0.089397461,0.063091483,0.082236842,0.046274873,0,0.080645161,0.070422535
regulation of apoptotic process,1,536,1,2,1,0,3,1,0.017879492,0.063091483,0.082236842,0.046274873,0,0.060483871,0.070422535
small GTPase binding,7,138,0,2,1,1,2,1,0.125156446,0,0.082236842,0.046274873,0.066755674,0.040322581,0.070422535
RNA 5'-cap (guanine-N7)-methylation,2,341,0,2,1,1,5,1,0.035758984,0,0.082236842,0.046274873,0.066755674,0.100806452,0.070422535
DNA duplex unwinding,2,342,0,2,1,0,5,1,0.035758984,0,0.082236842,0.046274873,0,0.100806452,0.070422535
GPI anchor biosynthetic process,1,539,3,1,1,0,3,1,0.017879492,0.189274448,0.041118421,0.046274873,0,0.060483871,0.070422535
dioxygenase activity,1,538,2,1,1,0,3,1,0.017879492,0.126182965,0.041118421,0.046274873,0,0.060483871,0.070422535
transcription initiation from RNA polymerase II promoter,7,140,1,1,1,0,0,1,0.125156446,0.063091483,0.041118421,0.046274873,0,0,0.070422535
rRNA binding,2,343,1,1,1,1,4,1,0.035758984,0.063091483,0.041118421,0.046274873,0.066755674,0.080645161,0.070422535
cation transmembrane transport,4,187,0,1,1,2,4,1,0.071517969,0,0.041118421,0.046274873,0.133511348,0.080645161,0.070422535
cytoskeleton organization,4,188,0,1,1,1,4,1,0.071517969,0,0.041118421,0.046274873,0.066755674,0.080645161,0.070422535
extracellular space,3,244,0,1,1,2,5,1,0.053638477,0,0.041118421,0.046274873,0.133511348,0.100806452,0.070422535
DNA helicase activity,2,345,0,1,1,0,3,1,0.035758984,0,0.041118421,0.046274873,0,0.060483871,0.070422535
cysteine-type endopeptidase activity,1,537,0,1,1,0,3,1,0.017879492,0,0.041118421,0.046274873,0,0.060483871,0.070422535
regulation of metabolic process,1,542,0,1,1,0,2,1,0.017879492,0,0.041118421,0.046274873,0,0.040322581,0.070422535
DNA recombination,0,1066,0,1,1,0,6,1,0,0,0.041118421,0.046274873,0,0.120967742,0.070422535
telomere maintenance,0,1092,0,1,1,0,1,1,0,0,0.041118421,0.046274873,0,0.02016129,0.070422535
glycolytic process,3,256,4,0,1,1,1,1,0.053638477,0.252365931,0,0.046274873,0.066755674,0.02016129,0.070422535
nucleoplasm,4,196,2,0,1,0,1,1,0.071517969,0.126182965,0,0.046274873,0,0.02016129,0.070422535
SRP-dependent cotranslational protein targeting to membrane,1,540,1,0,1,0,3,1,0.017879492,0.063091483,0,0.046274873,0,0.060483871,0.070422535
anion transmembrane transport,5,167,0,0,1,0,1,1,0.089397461,0,0,0.046274873,0,0.02016129,0.070422535
anion transmembrane transporter activity,5,168,0,0,1,0,1,1,0.089397461,0,0,0.046274873,0,0.02016129,0.070422535
glutathione catabolic process,0,1112,0,0,1,1,0,1,0,0,0,0.046274873,0.066755674,0,0.070422535
glutathione hydrolase activity,0,1113,0,0,1,1,0,1,0,0,0,0.046274873,0.066755674,0,0.070422535
sodium ion transport,0,1068,0,0,1,0,4,1,0,0,0,0.046274873,0,0.080645161,0.070422535
cysteine biosynthetic process,0,1069,0,0,1,0,3,1,0,0,0,0.046274873,0,0.060483871,0.070422535
L-cystine L-cysteine-lyase (deaminating),0,1077,0,0,1,0,2,1,0,0,0,0.046274873,0,0.040322581,0.070422535
L-cysteine desulfhydrase activity,0,1078,0,0,1,0,2,1,0,0,0,0.046274873,0,0.040322581,0.070422535
cystathionine gamma-lyase activity,0,1079,0,0,1,0,2,1,0,0,0,0.046274873,0,0.040322581,0.070422535
transsulfuration,0,1080,0,0,1,0,2,1,0,0,0,0.046274873,0,0.040322581,0.070422535
collagen trimer,0,1081,0,0,1,0,2,1,0,0,0,0.046274873,0,0.040322581,0.070422535
basement membrane,0,1093,0,0,1,0,1,1,0,0,0,0.046274873,0,0.02016129,0.070422535
extracellular matrix structural constituent,0,1094,0,0,1,0,1,1,0,0,0,0.046274873,0,0.02016129,0.070422535
D-alanine-D-alanine ligase activity,0,1118,0,0,1,0,0,1,0,0,0,0.046274873,0,0,0.070422535
ubiquitin-dependent protein catabolic process,11,91,3,6,1,2,8,0,0.196674414,0.189274448,0.246710526,0.046274873,0.133511348,0.161290323,0
DNA-directed RNA polymerase complex,3,270,3,5,1,1,3,0,0.053638477,0.189274448,0.205592105,0.046274873,0.066755674,0.060483871,0
cilium,10,103,1,4,1,0,1,0,0.178794922,0.063091483,0.164473684,0.046274873,0,0.02016129,0
P granule,3,283,0,4,1,1,1,0,0.053638477,0,0.164473684,0.046274873,0.066755674,0.02016129,0
endosome,9,107,3,3,1,1,5,0,0.16091543,0.189274448,0.123355263,0.046274873,0.066755674,0.100806452,0
autophagy,6,157,3,3,1,0,2,0,0.107276953,0.189274448,0.123355263,0.046274873,0,0.040322581,0
voltage-gated calcium channel activity,1,707,1,3,1,0,0,0,0.017879492,0.063091483,0.123355263,0.046274873,0,0,0
voltage-gated calcium channel complex,1,708,1,3,1,0,0,0,0.017879492,0.063091483,0.123355263,0.046274873,0,0,0
cell projection organization,5,178,0,3,1,0,0,0,0.089397461,0,0.123355263,0.046274873,0,0,0
neuropeptide signaling pathway,3,284,0,3,1,0,1,0,0.053638477,0,0.123355263,0.046274873,0,0.02016129,0
7-methylguanosine mRNA capping,2,361,0,3,1,2,5,0,0.035758984,0,0.123355263,0.046274873,0.133511348,0.100806452,0
transcription elongation from RNA polymerase II promoter,3,285,3,2,1,0,1,0,0.053638477,0.189274448,0.082236842,0.046274873,0,0.02016129,0
ABC-type transporter activity,1,573,2,2,1,4,5,0,0.017879492,0.126182965,0.082236842,0.046274873,0.267022697,0.100806452,0
5'-3' RNA polymerase activity,1,710,2,2,1,0,0,0,0.017879492,0.126182965,0.082236842,0.046274873,0,0,0
cell cycle,13,76,1,2,1,2,7,0,0.232433399,0.063091483,0.082236842,0.046274873,0.133511348,0.141129032,0
non-membrane spanning protein tyrosine kinase activity,4,214,1,2,1,1,1,0,0.071517969,0.063091483,0.082236842,0.046274873,0.066755674,0.02016129,0
guanylate cyclase activity,2,433,1,2,1,0,0,0,0.035758984,0.063091483,0.082236842,0.046274873,0,0,0
cGMP biosynthetic process,2,434,1,2,1,0,0,0,0.035758984,0.063091483,0.082236842,0.046274873,0,0,0
cyclic nucleotide biosynthetic process,2,435,1,2,1,0,0,0,0.035758984,0.063091483,0.082236842,0.046274873,0,0,0
protein catabolic process,4,205,0,2,1,0,3,0,0.071517969,0,0.082236842,0.046274873,0,0.060483871,0
mRNA (guanine-N7-)-methyltransferase activity,2,363,0,2,1,1,5,0,0.035758984,0,0.082236842,0.046274873,0.066755674,0.100806452,0
positive regulation of proteasomal protein catabolic process,2,381,0,2,1,0,3,0,0.035758984,0,0.082236842,0.046274873,0,0.060483871,0
proteasome-activating activity,2,382,0,2,1,0,3,0,0.035758984,0,0.082236842,0.046274873,0,0.060483871,0
negative regulation of translation,1,709,0,2,1,0,0,0,0.017879492,0,0.082236842,0.046274873,0,0,0
endomembrane system,2,405,3,1,1,0,1,0,0.035758984,0.189274448,0.041118421,0.046274873,0,0.02016129,0
iron-sulfur cluster binding,17,54,2,1,1,1,6,0,0.303951368,0.126182965,0.041118421,0.046274873,0.066755674,0.120967742,0
phosphoric diester hydrolase activity,4,220,1,1,1,1,0,0,0.071517969,0.063091483,0.041118421,0.046274873,0.066755674,0,0
postsynaptic membrane,3,287,1,1,1,0,1,0,0.053638477,0.063091483,0.041118421,0.046274873,0,0.02016129,0
chitinase activity,3,302,1,1,1,0,0,0,0.053638477,0.063091483,0.041118421,0.046274873,0,0,0
chitin catabolic process,3,303,1,1,1,0,0,0,0.053638477,0.063091483,0.041118421,0.046274873,0,0,0
endosome membrane,2,372,1,1,1,3,3,0,0.035758984,0.063091483,0.041118421,0.046274873,0.200267023,0.060483871,0
proteasome activator complex,2,389,1,1,1,0,2,0,0.035758984,0.063091483,0.041118421,0.046274873,0,0.040322581,0
"3',5'-cyclic-nucleotide phosphodiesterase activity",2,436,1,1,1,0,0,0,0.035758984,0.063091483,0.041118421,0.046274873,0,0,0
phosphatidylinositol dephosphorylation,1,602,1,1,1,0,2,0,0.017879492,0.063091483,0.041118421,0.046274873,0,0.040322581,0
cell-matrix adhesion,0,1226,1,1,1,0,2,0,0,0.063091483,0.041118421,0.046274873,0,0.040322581,0
2-oxoglutarate-dependent dioxygenase activity,0,1308,1,1,1,0,1,0,0,0.063091483,0.041118421,0.046274873,0,0.02016129,0
cytoplasmic vesicle,10,99,0,1,1,2,8,0,0.178794922,0,0.041118421,0.046274873,0.133511348,0.161290323,0
cell division,8,122,0,1,1,2,6,0,0.143035938,0,0.041118421,0.046274873,0.133511348,0.120967742,0
negative regulation of signal transduction,4,219,0,1,1,1,0,0,0.071517969,0,0.041118421,0.046274873,0.066755674,0,0
phosphatidylinositol phosphate biosynthetic process,3,278,0,1,1,0,2,0,0.053638477,0,0.041118421,0.046274873,0,0.040322581,0
actin cytoskeleton organization,3,286,0,1,1,0,1,0,0.053638477,0,0.041118421,0.046274873,0,0.02016129,0
identical protein binding,1,691,0,1,1,1,0,0,0.017879492,0,0.041118421,0.046274873,0.066755674,0,0
Notch signaling pathway,1,585,0,1,1,0,3,0,0.017879492,0,0.041118421,0.046274873,0,0.060483871,0
G protein-coupled peptide receptor activity,1,631,0,1,1,0,1,0,0.017879492,0,0.041118421,0.046274873,0,0.02016129,0
cadherin binding,1,632,0,1,1,0,1,0,0.017879492,0,0.041118421,0.046274873,0,0.02016129,0
EMC complex,1,711,0,1,1,0,0,0,0.017879492,0,0.041118421,0.046274873,0,0,0
phosphorus-oxygen lyase activity,1,712,0,1,1,0,0,0,0.017879492,0,0.041118421,0.046274873,0,0,0
integrin-mediated signaling pathway,0,1195,0,1,1,1,3,0,0,0,0.041118421,0.046274873,0.066755674,0.060483871,0
organelle organization,0,1179,0,1,1,0,4,0,0,0,0.041118421,0.046274873,0,0.080645161,0
cytosolic large ribosomal subunit,0,1198,0,1,1,0,3,0,0,0,0.041118421,0.046274873,0,0.060483871,0
U5 snRNP,0,1225,0,1,1,0,2,0,0,0,0.041118421,0.046274873,0,0.040322581,0
response to metal ion,0,1306,0,1,1,0,1,0,0,0,0.041118421,0.046274873,0,0.02016129,0
histone-lysine N-methyltransferase activity,0,1307,0,1,1,0,1,0,0,0,0.041118421,0.046274873,0,0.02016129,0
G protein-coupled receptor kinase activity,0,1707,0,1,1,0,0,0,0,0,0.041118421,0.046274873,0,0,0
chemotaxis,0,1708,0,1,1,0,0,0,0,0,0.041118421,0.046274873,0,0,0
chemosensory behavior,0,1709,0,1,1,0,0,0,0,0,0.041118421,0.046274873,0,0,0
protein modification process,4,222,2,0,1,0,0,0,0.071517969,0.126182965,0,0.046274873,0,0,0
meiotic cell cycle,1,597,2,0,1,1,2,0,0.017879492,0.126182965,0,0.046274873,0.066755674,0.040322581,0
NAD biosynthetic process,0,1786,2,0,1,0,0,0,0,0.126182965,0,0.046274873,0,0,0
intracellular organelle,8,120,1,0,1,1,8,0,0.143035938,0.063091483,0,0.046274873,0.066755674,0.161290323,0
U4/U6 x U5 tri-snRNP complex,2,390,1,0,1,0,2,0,0.035758984,0.063091483,0,0.046274873,0,0.040322581,0
synaptic membrane,2,408,1,0,1,0,1,0,0.035758984,0.063091483,0,0.046274873,0,0.02016129,0
"intramolecular transferase activity, phosphotransferases",2,443,1,0,1,0,0,0,0.035758984,0.063091483,0,0.046274873,0,0,0
production of miRNAs involved in gene silencing by miRNA,1,583,1,0,1,1,3,0,0.017879492,0.063091483,0,0.046274873,0.066755674,0.060483871,0
transcription elongation factor complex,1,726,1,0,1,0,0,0,0.017879492,0.063091483,0,0.046274873,0,0,0
spliceosomal snRNP assembly,0,1180,1,0,1,0,4,0,0,0.063091483,0,0.046274873,0,0.080645161,0
UDP-N-acetylglucosamine biosynthetic process,0,1234,1,0,1,0,2,0,0,0.063091483,0,0.046274873,0,0.040322581,0
demethylation,0,1325,1,0,1,0,1,0,0,0.063091483,0,0.046274873,0,0.02016129,0
histone H3-tri/di/monomethyl-lysine-4 demethylase activity,0,1326,1,0,1,0,1,0,0,0.063091483,0,0.046274873,0,0.02016129,0
phosphatidylinositol-3-phosphate biosynthetic process,0,1777,1,0,1,0,0,0,0,0.063091483,0,0.046274873,0,0,0
"phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity",0,1778,1,0,1,0,0,0,0,0.063091483,0,0.046274873,0,0,0
mannose metabolic process,0,1779,1,0,1,0,0,0,0,0.063091483,0,0.046274873,0,0,0
alpha-mannosidase activity,0,1780,1,0,1,0,0,0,0,0.063091483,0,0.046274873,0,0,0
hexosyltransferase activity,0,1781,1,0,1,0,0,0,0,0.063091483,0,0.046274873,0,0,0
FAD-AMP lyase (cyclizing) activity,0,1782,1,0,1,0,0,0,0,0.063091483,0,0.046274873,0,0,0
glycerol metabolic process,0,1783,1,0,1,0,0,0,0,0.063091483,0,0.046274873,0,0,0
glycerone kinase activity,0,1784,1,0,1,0,0,0,0,0.063091483,0,0.046274873,0,0,0
Rap protein signal transduction,0,1785,1,0,1,0,0,0,0,0.063091483,0,0.046274873,0,0,0
iron-sulfur cluster assembly,8,126,0,0,1,0,2,0,0.143035938,0,0,0.046274873,0,0.040322581,0
trehalose metabolic process,3,300,0,0,1,1,0,0,0.053638477,0,0,0.046274873,0.066755674,0,0
glyoxylate cycle,3,288,0,0,1,0,1,0,0.053638477,0,0,0.046274873,0,0.02016129,0
COPI-coated vesicle membrane,3,304,0,0,1,0,0,0,0.053638477,0,0,0.046274873,0,0,0
COPI vesicle coat,3,305,0,0,1,0,0,0,0.053638477,0,0,0.046274873,0,0,0
regulation of ARF protein signal transduction,3,306,0,0,1,0,0,0,0.053638477,0,0,0.046274873,0,0,0
malate synthase activity,3,307,0,0,1,0,0,0,0.053638477,0,0,0.046274873,0,0,0
cation transport,2,368,0,0,1,1,4,0,0.035758984,0,0,0.046274873,0.066755674,0.080645161,0
"alpha,alpha-trehalase activity",2,426,0,0,1,1,0,0,0.035758984,0,0,0.046274873,0.066755674,0,0
cytoplasmic vesicle membrane,2,406,0,0,1,0,1,0,0.035758984,0,0,0.046274873,0,0.02016129,0
Golgi stack,2,407,0,0,1,0,1,0,0.035758984,0,0,0.046274873,0,0.02016129,0
transcription factor TFIIA complex,2,437,0,0,1,0,0,0,0.035758984,0,0,0.046274873,0,0,0
nucleotide biosynthetic process,2,438,0,0,1,0,0,0,0.035758984,0,0,0.046274873,0,0,0
"DNA-binding transcription repressor activity, RNA polymerase II-specific",2,439,0,0,1,0,0,0,0.035758984,0,0,0.046274873,0,0,0
GTPase regulator activity,2,440,0,0,1,0,0,0,0.035758984,0,0,0.046274873,0,0,0
generation of catalytic spliceosome for first transesterification step,2,441,0,0,1,0,0,0,0.035758984,0,0,0.046274873,0,0,0
U2-type catalytic step 1 spliceosome,2,442,0,0,1,0,0,0,0.035758984,0,0,0.046274873,0,0,0
ubiquitin-like modifier activating enzyme activity,1,595,0,0,1,1,2,0,0.017879492,0,0,0.046274873,0.066755674,0.040322581,0
protein processing,1,596,0,0,1,1,2,0,0.017879492,0,0,0.046274873,0.066755674,0.040322581,0
cation binding,1,692,0,0,1,1,0,0,0.017879492,0,0,0.046274873,0.066755674,0,0
cation transmembrane transporter activity,1,578,0,0,1,0,4,0,0.017879492,0,0,0.046274873,0,0.080645161,0
cell communication,1,586,0,0,1,0,3,0,0.017879492,0,0,0.046274873,0,0.060483871,0
ubiquitin-dependent ERAD pathway,1,633,0,0,1,0,1,0,0.017879492,0,0,0.046274873,0,0.02016129,0
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,634,0,0,1,0,1,0,0.017879492,0,0,0.046274873,0,0.02016129,0
organonitrogen compound metabolic process,1,635,0,0,1,0,1,0,0.017879492,0,0,0.046274873,0,0.02016129,0
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,1,713,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
SCF ubiquitin ligase complex,1,714,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
AP-3 adaptor complex,1,715,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
Golgi to vacuole transport,1,716,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
calcium-mediated signaling,1,717,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
signal recognition particle binding,1,718,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
negative regulation of TOR signaling,1,719,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
neurotrophin TRK receptor signaling pathway,1,720,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",1,721,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
protein-L-isoaspartate (D-aspartate) O-methyltransferase activity,1,722,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
tRNA 3'-trailer cleavage,1,723,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
cyclin-dependent protein serine/threonine kinase activator activity,1,724,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
Golgi organization,1,725,0,0,1,0,0,0,0.017879492,0,0,0.046274873,0,0,0
integrin complex,0,1623,0,0,1,1,0,0,0,0,0,0.046274873,0.066755674,0,0
phagophore assembly site,0,1624,0,0,1,1,0,0,0,0,0,0.046274873,0.066755674,0,0
antiporter activity,0,1227,0,0,1,0,2,0,0,0,0,0.046274873,0,0.040322581,0
calcium:sodium antiporter activity,0,1228,0,0,1,0,2,0,0,0,0,0.046274873,0,0.040322581,0
microtubule nucleation,0,1229,0,0,1,0,2,0,0,0,0,0.046274873,0,0.040322581,0
gamma-tubulin binding,0,1230,0,0,1,0,2,0,0,0,0,0.046274873,0,0.040322581,0
spindle pole,0,1231,0,0,1,0,2,0,0,0,0,0.046274873,0,0.040322581,0
actin filament capping,0,1232,0,0,1,0,2,0,0,0,0,0.046274873,0,0.040322581,0
double-strand break repair,0,1233,0,0,1,0,2,0,0,0,0,0.046274873,0,0.040322581,0
"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity",0,1309,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
oligosaccharide biosynthetic process,0,1310,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
MICOS complex,0,1311,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
barbed-end actin filament capping,0,1312,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
F-actin capping protein complex,0,1313,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
aspartate-tRNA ligase activity,0,1314,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
aspartyl-tRNA aminoacylation,0,1315,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
G protein-coupled acetylcholine receptor signaling pathway,0,1316,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
mannose-ethanolamine phosphotransferase activity,0,1317,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
arginine-tRNA ligase activity,0,1318,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
arginyl-tRNA aminoacylation,0,1319,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
response to endoplasmic reticulum stress,0,1320,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
sarcolemma,0,1321,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
GDP-L-fucose synthase activity,0,1322,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
nucleotide-sugar biosynthetic process,0,1323,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
histone lysine methylation,0,1324,0,0,1,0,1,0,0,0,0,0.046274873,0,0.02016129,0
glutamate dehydrogenase [NAD(P)+] activity,0,1710,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
GARP complex,0,1711,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
pyruvate kinase activity,0,1712,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
potassium ion binding,0,1713,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
L-serine ammonia-lyase activity,0,1714,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",0,1715,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,0,1716,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
glutamyl-tRNA(Gln) amidotransferase complex,0,1717,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
glutaminyl-tRNAGln biosynthesis via transamidation,0,1718,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
chromosome organization,0,1719,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
box H/ACA snoRNP assembly,0,1720,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
sno(s)RNA-containing ribonucleoprotein complex,0,1721,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
peptide modification,0,1722,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
pre-mRNA cleavage required for polyadenylation,0,1723,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
UMP salvage,0,1724,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
uridine kinase activity,0,1725,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
CTP salvage,0,1726,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
cristae formation,0,1727,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
plasma membrane organization,0,1728,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
dolichol kinase activity,0,1729,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
positive regulation of cell cycle G2/M phase transition,0,1730,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
spinal cord motor neuron cell fate specification,0,1731,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
laminin binding,0,1732,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
receptor clustering,0,1733,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
snRNA import into nucleus,0,1734,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
branched-chain amino acid transport,0,1735,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
branched-chain amino acid catabolic process,0,1736,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
branched-chain amino acid transmembrane transporter activity,0,1737,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
protein homotetramerization,0,1738,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
cAMP response element binding protein binding,0,1739,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
RNA adenylyltransferase activity,0,1740,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
